State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
New Hampshire,46.4,Yamaha,FZ V3,205505,2015,600,Hybrid,89.39,First,2015,Active,Individual,98060.4,North Matthewside
Ohio,69.65,Royal Enfield,Z650,375679,2024,340,Electric,98.86,Second,2024,Active,Individual,279356.94,Mariachester
South Dakota,20.22,TVS,NTorq 125,277552,2019,935,Hybrid,84.03,First,2021,Active,Individual,215201.73,New Debrabury
West Virginia,73.31,Kawasaki,Z650,138571,2024,900,Electric,97.37,Second,2024,Expired,Individual,91620.16,Jacobville
Missouri,75.4,Yamaha,FZ V3,322449,2017,883,Electric,90.42,First,2019,Expired,Individual,185891.63,Martinville
Kentucky,61.67,TVS,Apache RTR 160,224235,2022,395,Petrol,62.35,Second,2024,Active,Individual,139937.13,Wilsonberg
Oklahoma,70.08,Hero,Splendor Plus,324085,2022,151,Electric,66.94,Second,2022,Active,Individual,154122.76,North Caleb
Vermont,10.1,Bajaj,Dominar 400,178545,2020,648,Petrol,44.48,Second,2023,Active,Individual,88054.33,North Debbie
Colorado,77.25,Bajaj,Avenger 220,386462,2018,460,Hybrid,88.76,First,2021,Active,Individual,226159.63,Amyville
Iowa,71.81,Hero,Xtreme 160R,197234,2015,138,Petrol,34.29,First,2019,Expired,Dealer,121992.37,East Russell
Georgia,6.89,Hero,Glamour,348629,2015,248,Hybrid,75.28,First,2017,Expired,Individual,231432.19,Lorifort
Louisiana,10.74,TVS,NTorq 125,131853,2015,827,Hybrid,89.69,First,2016,Expired,Individual,56433.1,Angelamouth
Arkansas,40.1,Hero,Passion Pro,153682,2024,1000,Petrol,30.21,Second,2024,Active,Individual,114677.04,Port Mary
Nevada,70.46,Hero,Xtreme 160R,115220,2015,144,Electric,87.79,First,2017,Expired,Individual,86979.64,East Brittanyfort
Arkansas,46.16,TVS,NTorq 125,193413,2019,168,Electric,84.43,First,2021,Expired,Individual,96826.15,South Christopherside
