State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
New Hampshire,59.32,Yamaha,Activa,91196,2022,785,Hybrid,30.8,First,2022,Not Available,Dealer,73158.9,North Matthewside
Ohio,53.82,TVS,125 Duke,190989,2022,412,Petrol,79.2,Third,2022,Active,Dealer,105927.68,Mariachester
South Dakota,23.35,Yamaha,125 Duke,326017,2017,493,Petrol,59.15,Third,2015,Not Available,Individual,228976.23,New Debrabury
West Virginia,11.92,TVS,Unicorn,156352,2016,757,Hybrid,75.4,First,2016,Not Available,Individual,99301.11,Jacobville
Missouri,15.34,TVS,HF Deluxe,197608,2015,505,Petrol,91.83,Second,2023,Active,Dealer,73132.47,Martinville
Kentucky,53.68,Honda,HF Deluxe,129155,2017,870,Petrol,78.75,First,2023,Not Available,Dealer,89017.58,Wilsonberg
Oklahoma,41.43,Royal Enfield,Interceptor 650,164737,2024,199,Petrol,56.13,First,2020,Not Available,Dealer,86458.54,North Caleb
Vermont,25.49,TVS,Ninja 300,310417,2023,868,Electric,41.6,Second,2018,Active,Individual,193773.89,North Debbie
Colorado,11.7,KTM,Vulcan S,270556,2016,701,Petrol,35.11,Third,2019,Expired,Dealer,127163.79,Amyville
Iowa,71.82,Bajaj,Classic 350,396587,2022,980,Petrol,38.95,First,2022,Active,Dealer,215841.78,East Russell
Georgia,25.7,TVS,Activa,87152,2016,682,Petrol,89.22,Second,2024,Expired,Dealer,54451.26,Lorifort
Louisiana,40.29,Royal Enfield,Fascino 125,135857,2017,678,Electric,55.78,Second,2020,Active,Individual,53264.6,Angelamouth
Arkansas,31.43,Yamaha,Splendor Plus,317189,2021,118,Electric,69.21,Second,2024,Not Available,Dealer,195511.47,Port Mary
Nevada,63.9,Honda,Vulcan S,314333,2018,957,Petrol,93.53,First,2017,Expired,Individual,171051.27,East Brittanyfort
Arkansas,73.13,Bajaj,Platina 110,100619,2024,476,Petrol,67.43,Second,2022,Expired,Individual,52395.08,South Christopherside
